E,E^2,E^4,M,M^2,M^4,E_err,M_err
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3318.400000,11021292.800000,121875032702259.203125,1042.200000,1092285.200000,1219498790868.800049,-nan,-nan
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3362.600000,11320421.600000,128750262413657.593750,1126.400000,1283302.800000,1721103779361.600098,44.200000,84.200000
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3418.533333,11705705.066667,137926005222442.671875,1175.600000,1397824.000000,2037997129939.199951,61.479680,69.165406
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3477.900000,12123226.000000,148296242591852.812500,1241.850000,1568125.100000,2616568649006.000000,73.581769,82.346762
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3487.200000,12185206.400000,149670486152099.843750,1253.400000,1592663.920000,2667532949859.520020,57.749944,64.822805
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3466.800000,12043112.533333,146212633594453.343750,1243.866667,1566003.866667,2566806327055.466309,51.376363,53.779319
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3473.428571,12086380.571429,147123997093474.750000,1255.628571,1595038.685714,2657868420118.171387,43.923991,46.949019
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3502.800000,12296501.600000,152528589420300.812500,1287.075000,1679968.450000,2975383628372.200195,48.059011,51.400736
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3517.244444,12397305.600000,154989150116727.468750,1320.733333,1774329.200000,3356805582801.600098,44.777794,56.460606
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3515.080000,12379991.840000,154457392057786.875000,1347.980000,1850852.600000,3667336461864.799805,40.108921,57.381363
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3504.945455,12308014.545455,152639670084449.750000,1351.181818,1857282.218182,3675265073626.909180,37.668806,52.002059
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3485.900000,12177712.933333,149573918185461.343750,1340.716667,1827968.500000,3559520654616.399902,39.308758,48.611019
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3483.538462,12160300.676923,149103012531465.843750,1332.338462,1804190.523077,3463877023066.091797,36.235833,45.493761
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3475.200000,12101638.628571,147648612686537.156250,1324.557143,1782542.828571,3379248027825.256836,34.568613,42.831790
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3459.040000,11991911.893333,145107155520433.500000,1311.600000,1749424.906667,3267031378896.426270,36.011147,41.926621
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3456.600000,11974060.400000,144630730815795.218750,1302.025000,1724150.100000,3176918958919.199219,33.773599,40.370682
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
-3451.788235,11940284.141176,143795837064545.906250,1295.670588,1707118.823529,3114068308481.316895,32.087603,38.450361
